division_id,name,abbreviation
1,Atlantic Coast Conference,ACC
1,American Conference,American
1,ASUN Conference,ASUN
1,America East Conference,America East
1,Atlantic 10 Conference,A-10
1,BIG EAST Conference,Big East
1,Big 12 Conference,Big 12
1,Big Sky Conference,Big Sky
1,Big South Conference,Big South
1,Big Ten Conference,Big Ten
1,Big West Conference,Big West
1,Coastal Athletic Association,CAA
1,Conference USA,C-USA
1,Horizon League,Horizon
1,Ivy League,Ivy
1,Metro Atlantic Athletic Conference,MAAC
1,Mid-American Conference,MAC
1,Mid-Eastern Athletic Conference,MEAC
1,Missouri Valley Conference,MVC
1,Mountain West Conference,MW
1,Northeast Conference,NEC
1,Ohio Valley Conference,OVC
1,Pacific-12 Conference,Pac-12
1,Patriot League,Patriot
1,Southeastern Conference,SEC
1,Southern Conference,SoCon
1,Southland Conference,Southland
1,Southwestern Athletic Conference,SWAC
1,Summit League,Summit
1,Sun Belt Conference,Sun Belt
1,Western Athletic Conference,WAC
2,Central Atlantic Collegiate Conference,CACC
2,California Collegiate Athletic Association,CCAA
2,Central Intercollegiate Athletic Association,CIAA
2,Conference Carolinas,Conference Carolinas
2,Eastern Collegiate Conference,ECC
2,Great Lakes Intercollegiate Athletic Conference,GLIAC
2,Great Lakes Valley Conference,GLVC
2,Great Northwest Athletic Conference,GNAC
2,Great American Conference,Great American
2,Great Midwest Athletic Conference,Great Midwest
2,Gulf South Conference,Gulf South
2,Lone Star Conference,Lone Star
2,Michigan Intercollegiate Athletic Association,MIAA
2,Mountain East Conference,Mountain East
2,Northeast-10 Conference,Northeast-10
2,Northern Sun Intercollegiate Conference,Northern Sun
2,Pennsylvania State Athletic Conference,PSAC
2,Pacific West Conference,PacWest
2,Peach Belt Conference,Peach Belt
2,Rocky Mountain Athletic Conference,RMAC
2,Southern Intercollegiate Athletic Conference,SIAC
2,South Atlantic Conference,South Atlantic
3,American Rivers Conference,American Rivers
3,American Southwest Conference,American Southwest
3,Atlantic East Conference,Atlantic East
3,College Conference of Illinois and Wisconsin,CCIW
3,Collegiate Conference of the South,CSAC
3,City University of New York Athletic Conference,CUNYAC
3,Centennial Conference,Centennial
3,Coast to Coast Athletic Conference,Coast-to-Coast
3,Empire 8 Conference,Empire 8
3,Great Northeast Athletic Conference,Great Northeast AC
3,Heartland Collegiate Athletic Conference,HCAC
3,Landmark Conference,Landmark
3,Liberty League,Liberty League
3,Little East Conference,Little East
3,Massachusetts State Collegiate Athletic Conference,MASCAC
3,Michigan Intercollegiate Athletic Association,MIAC
3,Middle Atlantic Conferences,Middle Atlantic Conferences
3,Midwest Conference,Midwest Conference
3,Northern Athletics Collegiate Conference,NACC
3,New England Small College Athletic Conference,NESCAC
3,New England Womens and Mens Athletic Conference,NEWMAC
3,New Jersey Athletic Conference,NJAC
3,North Atlantic Conference,North Atlantic Conference
3,North Coast Athletic Conference,North Coast AC
3,Northwest Conference,Northwest Conference
3,Old Dominion Athletic Conference,ODAC
3,Ohio Athletic Conference,Ohio Athletic Conference
3,Presidents Athletic Conference,Presidents AC
3,Southern Collegiate Athletic Conference,SCAC
3,Southern California Intercollegiate Athletic Conference,SCIAC
3,St. Louis Intercollegiate Athletic Conference,SLIAC
3,State University of New York Athletic Conference,SUNYAC
3,Southern Athletic Association,Southern Athletic Association
3,University Athletic Association,UAA
3,Upper Midwest Athletic Conference,UMAC
3,USA South Athletic Conference,USA South
3,Wisconsin Intercollegiate Athletic Conference,WIAC
